Year,Month,Day,Hour,KW,MW,data
2022,1,1,0,1380.89,1.38089,1/1/22 0:00
2022,1,1,1,1328.15,1.32815,1/1/22 1:00
2022,1,1,2,1333.56,1.33356,1/1/22 2:00
2022,1,1,3,1328.54,1.32854,1/1/22 3:00
2022,1,1,4,1367.73,1.36773,1/1/22 4:00
2022,1,1,5,1483.8,1.4838,1/1/22 5:00
2022,1,1,6,1578.19,1.57819,1/1/22 6:00
2022,1,1,7,1653.14,1.65314,1/1/22 7:00
2022,1,1,8,1624.6,1.6246,1/1/22 8:00
2022,1,1,9,1557.19,1.55719,1/1/22 9:00
2022,1,1,10,1483.07,1.48307,1/1/22 10:00
2022,1,1,11,1474.18,1.47418,1/1/22 11:00
2022,1,1,12,1429.69,1.42969,1/1/22 12:00
2022,1,1,13,1353.41,1.35341,1/1/22 13:00
2022,1,1,14,1323.37,1.32337,1/1/22 14:00
2022,1,1,15,1347.17,1.34717,1/1/22 15:00
2022,1,1,16,1373.86,1.37386,1/1/22 16:00
2022,1,1,17,1424.42,1.42442,1/1/22 17:00
2022,1,1,18,1489.68,1.48968,1/1/22 18:00
2022,1,1,19,1543.33,1.54333,1/1/22 19:00
2022,1,1,20,1621.49,1.62149,1/1/22 20:00
2022,1,1,21,1660.88,1.66088,1/1/22 21:00
2022,1,1,22,1626.06,1.62606,1/1/22 22:00
2022,1,1,23,1440.3,1.4403,1/1/22 23:00
2022,1,2,0,1559.08,1.55908,1/2/22 0:00
2022,1,2,1,1650.34,1.65034,1/2/22 1:00
2022,1,2,2,1586.84,1.58684,1/2/22 2:00
2022,1,2,3,1537.1,1.5371,1/2/22 3:00
2022,1,2,4,1585.64,1.58564,1/2/22 4:00
2022,1,2,5,1659.33,1.65933,1/2/22 5:00
2022,1,2,6,1905.64,1.90564,1/2/22 6:00
2022,1,2,7,1844.74,1.84474,1/2/22 7:00
2022,1,2,8,1866.02,1.86602,1/2/22 8:00
2022,1,2,9,1598.66,1.59866,1/2/22 9:00
2022,1,2,10,1446.55,1.44655,1/2/22 10:00
2022,1,2,11,1398.98,1.39898,1/2/22 11:00
2022,1,2,12,1354.13,1.35413,1/2/22 12:00
2022,1,2,13,1227.29,1.22729,1/2/22 13:00
2022,1,2,14,1195.48,1.19548,1/2/22 14:00
2022,1,2,15,1149.94,1.14994,1/2/22 15:00
2022,1,2,16,1104.73,1.10473,1/2/22 16:00
2022,1,2,17,1129.21,1.12921,1/2/22 17:00
2022,1,2,18,1347.68,1.34768,1/2/22 18:00
2022,1,2,19,1421.85,1.42185,1/2/22 19:00
2022,1,2,20,1310.01,1.31001,1/2/22 20:00
2022,1,2,21,1310.73,1.31073,1/2/22 21:00
2022,1,2,22,1371.35,1.37135,1/2/22 22:00
2022,1,2,23,1425.37,1.42537,1/2/22 23:00
2022,1,3,0,1441.96,1.44196,1/3/22 0:00
2022,1,3,1,1440.94,1.44094,1/3/22 1:00
2022,1,3,2,1631.88,1.63188,1/3/22 2:00
2022,1,3,3,1622.63,1.62263,1/3/22 3:00
2022,1,3,4,1713.51,1.71351,1/3/22 4:00
2022,1,3,5,2150.67,2.15067,1/3/22 5:00
2022,1,3,6,2738.42,2.73842,1/3/22 6:00
2022,1,3,7,3010.06,3.01006,1/3/22 7:00
2022,1,3,8,2922.25,2.92225,1/3/22 8:00
2022,1,3,9,2561.28,2.56128,1/3/22 9:00
2022,1,3,10,2270.59,2.27059,1/3/22 10:00
2022,1,3,11,2129.02,2.12902,1/3/22 11:00
2022,1,3,12,1986.79,1.98679,1/3/22 12:00
2022,1,3,13,1820.8,1.8208,1/3/22 13:00
2022,1,3,14,1642,1.642,1/3/22 14:00
2022,1,3,15,1605.53,1.60553,1/3/22 15:00
2022,1,3,16,1557.85,1.55785,1/3/22 16:00
2022,1,3,17,1521.3,1.5213,1/3/22 17:00
2022,1,3,18,1631.6,1.6316,1/3/22 18:00
2022,1,3,19,1661.41,1.66141,1/3/22 19:00
2022,1,3,20,1604.47,1.60447,1/3/22 20:00
2022,1,3,21,1554.13,1.55413,1/3/22 21:00
2022,1,3,22,1597.08,1.59708,1/3/22 22:00
2022,1,3,23,1516.77,1.51677,1/3/22 23:00
2022,1,4,0,1528.91,1.52891,1/4/22 0:00
2022,1,4,1,1540.55,1.54055,1/4/22 1:00
2022,1,4,2,1557.68,1.55768,1/4/22 2:00
2022,1,4,3,1643.15,1.64315,1/4/22 3:00
2022,1,4,4,1781.49,1.78149,1/4/22 4:00
2022,1,4,5,2006.61,2.00661,1/4/22 5:00
2022,1,4,6,2116.79,2.11679,1/4/22 6:00
2022,1,4,7,2278.13,2.27813,1/4/22 7:00
2022,1,4,8,2205.59,2.20559,1/4/22 8:00
2022,1,4,9,1991.24,1.99124,1/4/22 9:00
2022,1,4,10,1756.08,1.75608,1/4/22 10:00
2022,1,4,11,1650.13,1.65013,1/4/22 11:00
2022,1,4,12,1517.46,1.51746,1/4/22 12:00
2022,1,4,13,1405.88,1.40588,1/4/22 13:00
2022,1,4,14,1440.18,1.44018,1/4/22 14:00
2022,1,4,15,1255.07,1.25507,1/4/22 15:00
2022,1,4,16,1222.06,1.22206,1/4/22 16:00
2022,1,4,17,1167.95,1.16795,1/4/22 17:00
2022,1,4,18,1262.37,1.26237,1/4/22 18:00
2022,1,4,19,1380.08,1.38008,1/4/22 19:00
2022,1,4,20,1578.13,1.57813,1/4/22 20:00
2022,1,4,21,1598.66,1.59866,1/4/22 21:00
2022,1,4,22,1545.91,1.54591,1/4/22 22:00
2022,1,4,23,1492.15,1.49215,1/4/22 23:00
2022,1,5,0,1500.86,1.50086,1/5/22 0:00
2022,1,5,1,1500.05,1.50005,1/5/22 1:00
2022,1,5,2,1577.88,1.57788,1/5/22 2:00
2022,1,5,3,1464.21,1.46421,1/5/22 3:00
2022,1,5,4,1539.16,1.53916,1/5/22 4:00
2022,1,5,5,1727.97,1.72797,1/5/22 5:00
2022,1,5,6,2045.14,2.04514,1/5/22 6:00
2022,1,5,7,2140.68,2.14068,1/5/22 7:00
2022,1,5,8,2136.48,2.13648,1/5/22 8:00
2022,1,5,9,1933.41,1.93341,1/5/22 9:00
2022,1,5,10,1750.02,1.75002,1/5/22 10:00
2022,1,5,11,1628,1.628,1/5/22 11:00
2022,1,5,12,1767.5,1.7675,1/5/22 12:00
2022,1,5,13,1586.51,1.58651,1/5/22 13:00
2022,1,5,14,1623.06,1.62306,1/5/22 14:00
2022,1,5,15,1646.55,1.64655,1/5/22 15:00
2022,1,5,16,1565.89,1.56589,1/5/22 16:00
2022,1,5,17,1556.22,1.55622,1/5/22 17:00
2022,1,5,18,1705.82,1.70582,1/5/22 18:00
2022,1,5,19,1778.86,1.77886,1/5/22 19:00
2022,1,5,20,1643.22,1.64322,1/5/22 20:00
2022,1,5,21,1631.82,1.63182,1/5/22 21:00
2022,1,5,22,1640.31,1.64031,1/5/22 22:00
2022,1,5,23,1636.69,1.63669,1/5/22 23:00
2022,1,6,0,1608.73,1.60873,1/6/22 0:00
2022,1,6,1,1603.85,1.60385,1/6/22 1:00
2022,1,6,2,1493.03,1.49303,1/6/22 2:00
2022,1,6,3,1682.13,1.68213,1/6/22 3:00
2022,1,6,4,1856,1.856,1/6/22 4:00
2022,1,6,5,2077.31,2.07731,1/6/22 5:00
2022,1,6,6,2493.99,2.49399,1/6/22 6:00
2022,1,6,7,2516.7,2.5167,1/6/22 7:00
2022,1,6,8,2478.17,2.47817,1/6/22 8:00
2022,1,6,9,2241.2,2.2412,1/6/22 9:00
2022,1,6,10,2098.41,2.09841,1/6/22 10:00
2022,1,6,11,1943.12,1.94312,1/6/22 11:00
2022,1,6,12,1740.79,1.74079,1/6/22 12:00
2022,1,6,13,1631.1,1.6311,1/6/22 13:00
2022,1,6,14,1539.02,1.53902,1/6/22 14:00
2022,1,6,15,1545.72,1.54572,1/6/22 15:00
2022,1,6,16,1435.49,1.43549,1/6/22 16:00
2022,1,6,17,1384.51,1.38451,1/6/22 17:00
2022,1,6,18,1508.2,1.5082,1/6/22 18:00
2022,1,6,19,1626.39,1.62639,1/6/22 19:00
2022,1,6,20,1566.86,1.56686,1/6/22 20:00
2022,1,6,21,1568.32,1.56832,1/6/22 21:00
2022,1,6,22,1605.27,1.60527,1/6/22 22:00
2022,1,6,23,1559.81,1.55981,1/6/22 23:00
2022,1,7,0,1539.84,1.53984,1/7/22 0:00
2022,1,7,1,1515.24,1.51524,1/7/22 1:00
2022,1,7,2,1570.46,1.57046,1/7/22 2:00
2022,1,7,3,1618.82,1.61882,1/7/22 3:00
2022,1,7,4,1541.63,1.54163,1/7/22 4:00
2022,1,7,5,1713.47,1.71347,1/7/22 5:00
2022,1,7,6,2111.07,2.11107,1/7/22 6:00
2022,1,7,7,2445.02,2.44502,1/7/22 7:00
2022,1,7,8,2370.95,2.37095,1/7/22 8:00
2022,1,7,9,2157.19,2.15719,1/7/22 9:00
2022,1,7,10,1999.61,1.99961,1/7/22 10:00
2022,1,7,11,1815.14,1.81514,1/7/22 11:00
2022,1,7,12,1615.18,1.61518,1/7/22 12:00
2022,1,7,13,1496.13,1.49613,1/7/22 13:00
2022,1,7,14,1503.54,1.50354,1/7/22 14:00
2022,1,7,15,1502.61,1.50261,1/7/22 15:00
2022,1,7,16,1461.03,1.46103,1/7/22 16:00
2022,1,7,17,1435.99,1.43599,1/7/22 17:00
2022,1,7,18,1433.76,1.43376,1/7/22 18:00
2022,1,7,19,1388.96,1.38896,1/7/22 19:00
2022,1,7,20,1377.87,1.37787,1/7/22 20:00
2022,1,7,21,1399.65,1.39965,1/7/22 21:00
2022,1,7,22,1414.83,1.41483,1/7/22 22:00
2022,1,7,23,1335.49,1.33549,1/7/22 23:00
2022,1,8,0,1369.02,1.36902,1/8/22 0:00
2022,1,8,1,1418.75,1.41875,1/8/22 1:00
2022,1,8,2,1465.57,1.46557,1/8/22 2:00
2022,1,8,3,1484.18,1.48418,1/8/22 3:00
2022,1,8,4,1537.94,1.53794,1/8/22 4:00
2022,1,8,5,1471.41,1.47141,1/8/22 5:00
2022,1,8,6,1575.21,1.57521,1/8/22 6:00
2022,1,8,7,1478.66,1.47866,1/8/22 7:00
2022,1,8,8,1365.47,1.36547,1/8/22 8:00
2022,1,8,9,1350.81,1.35081,1/8/22 9:00
2022,1,8,10,1502.99,1.50299,1/8/22 10:00
2022,1,8,11,1338.19,1.33819,1/8/22 11:00
2022,1,8,12,1186.46,1.18646,1/8/22 12:00
2022,1,8,13,1133.78,1.13378,1/8/22 13:00
2022,1,8,14,1153.08,1.15308,1/8/22 14:00
2022,1,8,15,1161.54,1.16154,1/8/22 15:00
2022,1,8,16,1096.49,1.09649,1/8/22 16:00
2022,1,8,17,1099.76,1.09976,1/8/22 17:00
2022,1,8,18,1176.82,1.17682,1/8/22 18:00
2022,1,8,19,1199.68,1.19968,1/8/22 19:00
2022,1,8,20,1239.52,1.23952,1/8/22 20:00
2022,1,8,21,1272.72,1.27272,1/8/22 21:00
2022,1,8,22,1308.92,1.30892,1/8/22 22:00
2022,1,8,23,1247.57,1.24757,1/8/22 23:00
2022,1,9,0,1419.03,1.41903,1/9/22 0:00
2022,1,9,1,1454.56,1.45456,1/9/22 1:00
