RT_Demand,GW,Date,Hr_End,time
"11,941.46",11.941461,Jan-21,01,1/1/21 1:00
"11,505.92",11.505917,Jan-21,02,1/1/21 2:00
"11,243.50",11.243501,Jan-21,03,1/1/21 3:00
"11,166.09",11.166091,Jan-21,04,1/1/21 4:00
"11,281.03",11.281033,Jan-21,05,1/1/21 5:00
"11,644.13",11.644132,Jan-21,06,1/1/21 6:00
"12,161.47",12.161472,Jan-21,07,1/1/21 7:00
"12,555.83",12.555829,Jan-21,08,1/1/21 8:00
"12,748.49",12.748492,Jan-21,09,1/1/21 9:00
"12,740.86",12.74086,Jan-21,10,1/1/21 10:00
"12,758.21",12.758205,Jan-21,11,1/1/21 11:00
"12,973.76",12.973761,Jan-21,12,1/1/21 12:00
"13,251.88",13.251877,Jan-21,13,1/1/21 13:00
"13,474.44",13.474442,Jan-21,14,1/1/21 14:00
"13,690.52",13.690515,Jan-21,15,1/1/21 15:00
"14,109.76",14.109761,Jan-21,16,1/1/21 16:00
"15,148.91",15.14891,Jan-21,17,1/1/21 17:00
"15,808.12",15.808122,Jan-21,18,1/1/21 18:00
"15,495.23",15.495234,Jan-21,19,1/1/21 19:00
"14,962.91",14.962911,Jan-21,20,1/1/21 20:00
"14,378.47",14.37847,Jan-21,21,1/1/21 21:00
"13,683.40",13.683403,Jan-21,22,1/1/21 22:00
"12,857.36",12.857362,Jan-21,23,1/1/21 23:00
"12,055.08",12.055076,Jan-21,24,1/1/21 0:00
"11,419.63",11.419634,Jan-21,01,1/2/21 1:00
"10,970.70",10.970704,Jan-21,02,1/2/21 2:00
"10,729.60",10.729599,Jan-21,03,1/2/21 3:00
"10,616.98",10.616976,Jan-21,04,1/2/21 4:00
"10,662.09",10.662092,Jan-21,05,1/2/21 5:00
"10,933.62",10.933621,Jan-21,06,1/2/21 6:00
"11,429.75",11.429745,Jan-21,07,1/2/21 7:00
"11,991.12",11.99112,Jan-21,08,1/2/21 8:00
"12,693.55",12.69355,Jan-21,09,1/2/21 9:00
"13,294.28",13.294282,Jan-21,10,1/2/21 10:00
