C,consumption,date,time
0,0.358597254,1/1/2023 0:00,1
1,0.310860412,1/1/2023 1:00,2
2,0.253128146,1/1/2023 2:00,3
3,0.249080092,1/1/2023 3:00,4
4,0.23102746,1/1/2023 4:00,5
5,0.240185355,1/1/2023 5:00,6
6,0.247583524,1/1/2023 6:00,7
7,0.289933638,1/1/2023 7:00,8
8,0.340524027,1/1/2023 8:00,9
9,0.3631373,1/1/2023 9:00,10
10,0.379979405,1/1/2023 10:00,11
11,0.40712357,1/1/2023 11:00,12
12,0.419771167,1/1/2023 12:00,13
13,0.425414188,1/1/2023 13:00,14
14,0.431784897,1/1/2023 14:00,15
15,0.39684897,1/1/2023 15:00,16
16,0.389114416,1/1/2023 16:00,17
17,0.445363844,1/1/2023 17:00,18
18,0.466652174,1/1/2023 18:00,19
19,0.475965675,1/1/2023 19:00,20
20,0.513924485,1/1/2023 20:00,21
21,0.491450801,1/1/2023 21:00,22
22,0.431963387,1/1/2023 22:00,23
23,0.354437071,1/1/2023 23:00,24
24,0.269537757,1/2/2023 0:00,1
25,0.225377574,1/2/2023 1:00,2
26,0.223922197,1/2/2023 2:00,3
27,0.213640732,1/2/2023 3:00,4
28,0.219853547,1/2/2023 4:00,5
29,0.231899314,1/2/2023 5:00,6
30,0.24990389,1/2/2023 6:00,7
31,0.319839817,1/2/2023 7:00,8
32,0.360812357,1/2/2023 8:00,9
33,0.333006865,1/2/2023 9:00,10
34,0.335345538,1/2/2023 10:00,11
35,0.373860412,1/2/2023 11:00,12
36,0.361624714,1/2/2023 12:00,13
37,0.377432494,1/2/2023 13:00,14
38,0.381853547,1/2/2023 14:00,15
39,0.371377574,1/2/2023 15:00,16
40,0.393121281,1/2/2023 16:00,17
41,0.422343249,1/2/2023 17:00,18
42,0.492633867,1/2/2023 18:00,19
43,0.507578947,1/2/2023 19:00,20
44,0.477464531,1/2/2023 20:00,21
45,0.443988558,1/2/2023 21:00,22
46,0.402212815,1/2/2023 22:00,23
47,0.320707094,1/2/2023 23:00,24
48,0.252244851,1/3/2023 0:00,1
49,0.208636156,1/3/2023 1:00,2
50,0.202194508,1/3/2023 2:00,3
51,0.201318078,1/3/2023 3:00,4
52,0.222899314,1/3/2023 4:00,5
53,0.240315789,1/3/2023 5:00,6
54,0.278077803,1/3/2023 6:00,7
55,0.324366133,1/3/2023 7:00,8
56,0.352599542,1/3/2023 8:00,9
57,0.349329519,1/3/2023 9:00,10
58,0.357649886,1/3/2023 10:00,11
59,0.346272311,1/3/2023 11:00,12
